"id","rus","kaz"
"1","этнографическ","этнографиялық"
"2","этическ","этикалық"
"3","эстетическ","эстетикалық"
"4","эмоциональн","эмоциялық"
"5","электрическ","электр"
"6","экспериментальн","эксперименталды"
"7","экономическ","экономикалық"
"8","эфолюцион","эволюциялық"
"9","эвакуирован","эвакуацияланған"
"10","внутренн","ішкі"
"11","хмельн","ішкен"
"12","струнн","ішекті"
"13","припухл","ісінген"
"14","сделанн","істелген"
"15","безработн","іссіз"
"16","подобн","іспеттес"
"17","делов","іскер"
"18","вздут","іскен"
"19","гнойн","іріңді"
"20","отборн","іріктелген"
"22","фундаментальн","іргелі"
"23","соседн","іргелес"
"24","бисерн","інжулі"
"25","висящ","ілулі"
"26","внимательн","ілтипатты"
"27","худ","ілмиген"
"28","хватки","ілгір"
"29","вежлив","ізетті"
"30","заинтересованн","ізденген"
"31","благо","ізгі"
"32","ретив","іждағатты"
"33","горяч","ыстық"
"34","удачлив","ырысты"
"35","ритмичн","ырғақты"
"36","немелодичн","ырғақсыз"
"37","неудобн","ыңғайсыз"
"38","дружн","ынтымақты"
"39","инициативн","ынталы"
"40","удобн","ыңғайлы"
"41","непримирим","ымырасыз"
"42","влажн","ылғалды"
"43","достойн","лайықты"
"44","внимательн","ықыласты"
"45","вольн","ықтиярлы"
"46","влиятельн","ықпалды"
"47","морозн","ызғарлы"
"48","возмущенн","ызалы"
"49","раздражительн","ызақор"
"50","старательн","ыждағатты"
"51","гнил","шіріген"
"52","сочн","шырынды"
"53","спутанн","шырмалған"
"54","красив","шырайлы"
"55","истинн","шын"
"56","крепк","шымыр"
"57","нетерпелив","шыдамсыз"
"58","терпелив","шыдамды"
"59","жадн","шығымсыз"
"60","всхож","шығымды"
"61","впал","шүңірек"
"62","сомнительн","шүбәлі"
"63","бесшумн","шусыз"
"64","шумн","шулы"
"65","корот","шолақ"
"66","бодр","ширақ"
"67","целебн","шипалы"
"68","исчерканн","шимайланған"
"69","сыр","шикі"
"70","запутанн","шиеленіскен"
"71","раздет","шешінген"
"72","разрешим","шешілетін"
"73","решенн","шешілген"
"74","решающ","шешуші"
"75","красноречив","шешен"
"76","безграничн","шетсіз"
"77","крайн","шеткі"
"78","заграничн","шетелдік"
"79","предельн","шекті"
"80","ограниченн","шектелген"
"81","бесконечн","шексіз"
"82","пограничн","шекаралық"
"83","летописн","шежірелі"
"84","прибит","шегелі"
"85","искусн","шебер"
"86","рассеянн","шашыраңқы"
"87","рассыпчат","шашылған"
"88","волосат","шашты"
"89","бахромчат","шашақты"
"90","запутанн","шатысқан"
"91","восторженн","шаттанған"
"92","ущелист","шатқалды"
"93","квадратн","шаршы"
"94","утомительн","шаршататын"
"95","неутомим","шаршамайтын"
"96","утомленн","шаршаған"
"97","хозяйственн","шаруашылық"
"98","условн","шартты"
"99","договорн","шарттасқан"
"100","зарешеченн","шарбақталған"
"101","великодушн","шарапатты"
"102","быстр","шапшаң"
"103","лыжн","шаңғы"
"104","предполагаем","шамаланған"
"106","проворн","шалымды"
"107","болотн","шалшықты"
"108","заболоченн","шалшықтанған"
"109","стар","шалдыққан"
"110","шаловлив","шалдуар"
"111","халтурн","шалағай"
"112","зван","шықырылған"
"113","позывн","шақыратын"
"114","кремнев","шақпақты"
"115","смолист","шайырлы"
"116","прожеванн","шайналған"
"117","заносчив","шадыр"
"118","небольш","шағын"
"119","расколот","шағылған"
"120","отражающ","шағылыстыратын"
"121","вдохновенн","шабытты"
"122","нападающ","щабуылдаушы"
"123","рублен","шабылған"
"124","наступательн","шабуылдайтын"
"125","медлительн","шабан"
"126","цикличн","циклді"
"127","цифров","цифрлық"
"128","хронологическ","хронологиялық"
"129","хроникальн","хроникалық"
"130","хореографическ","хореографиялық"
"131","хлорист","хлорлы"
"132","химическ","химиялық"
"133","народн","халық"
"134","международн","халықаралық"
"135","безвестн","хабарсыз"
"136","уведомительн","хабарландыратын"
"137","осведомленн","хабардар"
"138","функциональн","функционалдық"
"139","фракционн","фракциялық"
"140","формальн","формалдық"
"141","фонетическ","фонетикалық"
"142","фонематическ","фонематикалық"
"143","философск","философиялық"
"144","филологическ","филологиялық"
"145","физкультурн","физкультуралық"
"146","физиологическ","физиологиялық"
"147","физическ","физикалық"
"148","феодальн","феодалдық"
"149","федеративн","федерациялық"
"150","фашистск","фашистік"
"151","фантастическ","фантастикалық"
"152","факультативн","факультативтік"
"153","фабричн","фабрикалық"
"154","остр","үшкір"
"155","верхн","үстіңгі"
"156","пуглив","үркек"
"157","экономн","үнемшіл"
"158","звучн","үнді"
"159","созвучн","үндес"
"160","молчалив","үндемес"
"161","безнадежн","үмітсіз"
"162","больш","үлкен"
"163","примерн","үлгілі"
"164","неуспевающ","үлгермеуші"
"165","бездомн","үйсіз"
"166","привыкш","үйреніскен"
"167","привычн","үйреншікті"
"168","несоответствующ","үйлесімсіз"
"169","подходящ","үйлесімді"
"170","непрочн","үзілгіш"
"171","беспрерывн","үздіксіз"
"172","передов","үздік"
"173","интенсивн","үдемелі"
"174","восходящ","үдеме"
"175","рассыпчат","үгілгіш"
"176","стыдлив","ұятты"
"177","бесстыж","ұятсыз"
"178","робк","ұяң"
"179","застенчив","ұялшақ"
"180","раздраженн","ұшыққан"
"181","точен","ұшталған"
"182","летуч","ұшпа"
"183","быстр","ұшқыр"
"184","летающ","ұшатын"
"185","безвыигрышн","ұтыссыз"
"186","выигрышн","ұтымды"
"187","беспроигрышн","ұтылыссыз"
"188","приогранн","ұтылған"
"189","лучш","керемет"
"190","громадн","абажадай"
"191","лохмат","абалақ-сабалақ"
"192","наилучш","абзалы"
"193","абонементн","абонементтік"
"194","абонентн","абоненттік"
"195","абсолютн","абсолютті"
"196","абстрактн","абстрактты"
"197","абстрактн","абстрактілі"
"198","абстрагирующий","астракциялаушы"
"199","раздраженн","абыржыған"
"200","авторитетн","абыройлы"
"201","бесстыдн","абыройсыз"
"202","авантюрн","авантюралық"
"203","авантюристическ","авантюристтік"
"204","австрииск","австриялық"
"205","автопередвижн","автожылжымалы"
"206","автоматическ","автоматтық"
"207","автономн","автономиялық"
"208","авторск","авторлық"
"209","автобытов","автотұрмыстық"
"210","агглютенативн","агглютенативтік"
"211","аграрн","аграрлық"
"212","агрессивн","агрессиялық"
"213","агробиологическ","агробиологиялық"
"29","агрономический","агрономдық"
"215","агротехническ","агротехникалық"
"216","родственн","ағайындас"
"217","семейственн","ағайыншыл"
"218","запачканн","ағал-жағал"
"219","белеющ","ағарған"
"220","отбеливающ","ағартушы"
"221","побеленн","ағартылған"
"222","белес","ағартылған"
"223","необдуманн","ағат"
"224","текуч","ағатын"
"225","лесист","ағашты"
"226","сливн","ағызатын"
"227","английск","ағылшын"
"228","текущ","ағымдағы"
"229","непроточн","ағымсыз"
"230","бурн","ағынды"
"231","безпоточн","ағынсыз"
"232","быстротечн","ағысты"
"233","расстегнут","ағытылған"
"234","добросовестн","адал"
"235","заблудш","адасқан"
"236","адекватн","адекват"
"237","адиабатическ","адиабаттық"
"238","властн","адуынды"
"239","шагающ","адымдағыш"
"240","неровн","адыр-бұдыр"
"60","пучеглаз","адырақ"
"61","бугрист","адырлы"
"62","небугрист","адырсыз"
"63","смертн","ажалды"
"64","бессмертн","ажалсыз"
"65","шлифовальн","ажарлайтын"
"66","красив","ажарлы"
"67","невзрачн","ажарсыз"
"68","насмешлив","ажуашыл"
"69","неотделим","ажырағысыз"
"70","разделим","ажырамалы"
"71","неотделим","ажыратылмайтын"
"72","убавленн","азайған"
"73","убавленн","азайтылған"
"74","траурн","азалы"
"75","утренн","азанғы"
"76","мучительн","азапты"
"77","вольн","азат"
"78","боров","азбан"
"79","захудал","азған"
"80","незначитаельн","азғантай"
"81","безнравственн","азғын"
"82","безнравственн","азғындаған"
"83","разлагающ","аздыратын"
"84","азербайджанск","азербайжан"
"85","азиатск","азия"
"86","недовольн","азсынған"
"87","зубаст","азулы"
"88","кормов","азықты"
"90","воющ","азынаған"
"91","исхудавш","азыңқы"
"92","внушительн","айбарлы"
"93","мягк","айбарсыз"
"94","грозн","айбатты"
"95","внушительн","айбаттылық"
"96","храбр","айбынды"
"97","криклив","айғайшыл"
"98","бездоказательн","айғақсыз"
"100","красив","айдай"
"101","похотн","айдалатын"
"102","пспаханн","айдалған"
"103","хохлат","айдарлы"
"104","широк","айдынды"
"105","неширок","айдынсыз"
"106","шумлив","айқай-қиқулы"
"107","шумн","айқайлы"
"108","криклив","айқайшыл"
"109","перекрестн","айқасқан"
"110","четк","айқын"
"111","поясняющ","айқындауыш"
"112","скрестивш","айқышты"
"113","увертлив","айлакер"
"114","смекалист","айлакес"
"115","хитроумн","айлалы"
"116","бесхитростн","айласыз"
"117","ловк","айлашыл"
"118","лунн","айлы"
"119","межрегиональн","аймақаралық"
"120","зональн","аймақтық"
"121","зеркальн","айнадай"
"122","вращающ","айналма"
"123","кругов","айналмалы"
"125","оборотн","айналымдық"
"126","изменчив","айнығыш"
"127","верн","айнымас"
"128","значительн","айрықша"
"129","заметн","айрықшаланған"
"130","лишивш","айрылған"
"131","безлунн","айсыз"
"132","дельн","айтарлықтай"
"133","бесподобн","айтқысыз"
"134","знатн","айтулы"
"135","сказанн","айтылған"
"136","неукрашенн","айшықсыз"
"137","узорчат","айшықты"
"138","выздоровевш","айыққан"
"139","безвинн","айыпсыз"
"140","виноват","айыпты"
"141","разветвленн","айыр"
"142","неразделим","айырғысыз"
"143","одинаков","айырмасыз"
"144","неотличим","айырықсыз"
"145","академическ","академиялық"
"146","аккордн","аккордтық"
"147","аккредитованн","аккредитивті"
"148","акробатическ","акробаттық"
"149","аксиоматичн","аксиомалық"
"150","аксиоматическ","аксиоматикалық"
"151","актерск","актерлік"
"152","активн","активті"
"153","актуальн","актуальды"
"154","заактированн","актілі"
"155","акустическ","акустикалық"
"156","акцентуационн","акцентуациялық"
"157","акционерн","акционерлік"
"158","бел","ақ"
"159","белосив","ақбоз"
"160","белогрив","ақжал"
"161","удачлив","ақжолтай"
"162","правдив","ақиқатшыл"
"163","добродушн","ақкөңіл"
"164","лебедин","аққу"
"165","белолиц","аққұба"
"166","рассеянн","ақпа"
"167","доброжелательн","ақпейіл"
"168","добродушн","ақпейілді"
"169","хром","ақсақ"
"170","почтенн","ақсақалды"
"171","великосветск","ақсүйек"
"172","оправданн","ақталған"
"173","белокож","ақтәнді"
"174","белогрудн","ақтөс"
"175","конечн","ақтық"
"176","бело-черн","ақтылы-қаралы"
"177","безденежн","ақшасыз"
"178","светл","ақщыл"
"179","беловат","ақшылдау"
"180","светл","ақшырайлы"
"181","мудр","ақылгөй"
"182","благоразумн","ақылды"
"183","глуп","ақылсыз"
"184","платн","ақылы"
"185","глуп","ақымақ"
"186","глуповат","ақымақтау"
"187","заключительн","ақырғы"
"188","загробн","ақыреттік"
"189","медленн","ақырын"
"190","бесплатн","ақысыз"
"191","пестр","ала"
"193","нечестн","алақол"
"194","беспристрастн","алаламайтын"
"195","легкомысленн","алаңғасар"
"196","настораживающ","алаңдатарлық"
"197","рассеянн","алаңқы"
"198","опустошительн","алапат"
"199","низк","аласа"
"200","невысок","аласалау"
"201","разъяренн","аласұрған"
"202","растрепанн","алау-жалау"
"203","огненн","алаулы"
"204","лохмат","алба-жұлба"
"205","албанск","албан"
"206","распущенн","албыр-жалбыр"
"207","болтающ","албыр-салбыр"
"208","румян","албыраған"
"209","напорист","албырт"
"210","алгебраическ","алгебралық"
"211","взявш","алған"
"212","начальн","алғашқы"
"213","передн","алғы"
"214","восприимчив","алғыр"
"215","берущ","алғыш"
"216","предстоящ","алдағы"
"217","хитрущ","алдампаз"
"218","заманчив","алдамшы"
"219","доверчив","алданғыш"
"220","забавляющ","алдандырушы"
"221","мним","алдауыш"
"222","передн","алдыңғы"
"223","заблудш","алжасқан"
"224","неряшлив","алқа-салқа"
"225","неопрятн","алқам-салқам"
"226","ал","алқызыл"
"227","аллотропическ","аллотропиялық"
"228","яблонев","алмалы"
"229","съемн","алмалы-салмалы"
"230","заменяющ","алмастыратын"
"231","заменяющ","алмасушы"
"233","шестигранн","алтыжақты"
"234","шестидневн","алтыкүндік"
"235","золот","алтын"
"236","позолоченн","алтынданған"
"238","сахарн","алуа-шекер"
"239","разносторонн","алуан"
"240","многообразн","алуан-алуан"
"241","разн","алуандас"
"242","алфавитн","алфавиттік"
"243","алхимическ","алхимиялық"
"244","далек","алшақ"
"246","несглаженн","алым-салық"
"247","безвыигрышн","алымсыз"
"248","громадн","алып"
"249","богатырск","алыптық"
"250","далек","алыс"
"251","дальн","алыстағы"
"252","ловк","амалшыл"
"253","здоров","аман"
"254","благополучн","аман-есен"
"255","амнистированн","амнистияланған"
"256","аморальн","аморальды"
"257","значительн","анағұрлым"
"258","тогдашн","анадағы"
"259","так","анадай"
"260","примитивн","анайы"
"261","анализированн","анализдік"
"262","аналитическ","аналитикалық"
"263","аналогичн","аналогиялық"
"264","гранатов","анардай"
"265","анархистическ","анархистік"
"266","анархическ","анархиялық"
"267","анатомическ","анатомиялық"
"268","анкетическ","анкеталық"
"269","аннотированн","аннотациялық"
"270","анорганическ","анорганикалық"
"271","ансамблев","ансамбльдік"
"272","антагонистическ","антагонистік"
"273","антидемократическ","антидемократиялық"
"274","антикоммунистическ","антикоммунистік"
"275","антимарксистск","антимарксистік"
"276","антипартийн","антипартиялық"
"277","антипозиционн","антипозициялық"
"278","антисанитарн","антисанитарлық"
"279","антисоветск","антисоветтік"
"280","антифашистск","антивашистік"
"281","присягающ","антқор"
"282","антологическ","антологиялық"
"283","антропологическ","антропологиялық"
"284","проклят","антұрған"
"285","ясн","анық"
"286","достоверн","анықталған"
"287","справочн","анықтамалық"
"288","наивн","аңғал"
"289","безалаберн","аңғалақ"
"290","неосмотрительн","аңғалсоқ"
"291","наблюдательн","аңғарғыш"
"292","долинн","аңғарлы"
"293","недогадлив","аңғарсыз"
"294","наблюдательн","аңғарымды"
"295","смышленн","аңғарымпаз"
"296","неосторожн","аңғырт"
"297","безхитростн","аңқау"
"298","откровенн","аңқылдақ"
"299","скучающ","аңсаулы"
"300","невнимательн","аңсыз"
"301","широкогруд","апайтөс"
"302","растерянн","апалақ-сапалақ"
"303","апатичн","апатиялық"
"304","катастрофичн","апатты"
"305","белоснежн","аппақ"
"306","недельн","апталық"
"307","знойн","аптап"
"309","бессовестн","ар-ұятсыз"
"310","совестлив","ар-ұятты"
"311","промежуточн","арадағы"
"312","красив","арайлы"
"313","некрасив","арайсыз"
"314","смешанн","аралас"
"316","безучастн","аралассыз"
"317","передвижн","аралатпа"
"318","бесчестн","арам"
"319","подл","арамза"
"320","завораживающ","арбайтын"
"321","повозочн","арбалық"
"322","неуклюж","арбаң-арбаң"
"323","размашист","арбаң-тарбаң"
"324","громоздк","арбиған"
"325","дальн","арғы"
"326","породист","арғымақ"
"327","ценн","ардақ"
"328","почетн","ардақты"
"329","ареальн","ареалдық"
"330","арендн","арендалық"
"331","дешев","арзан"
"332","аристократическ","аристократтық"
"333","арифметическ","арифметикалық"
"334","заплечн","арқалайтын"
"335","балочн","арқалық"
"336","привязн","арқандаулы"
"337","бесхребетн","арқасыз"
"339","обидчив","арланғыш"
"340","совестлив","арлы"
"341","мечтательн","арманды"
"342","романтическ","арманшыл"
"343","армейск","армиялық"
"344","специальн","арнайы"
"345","поточн","арналы"
"346","посвященн","арнаулы"
"347","бессовестн","арсыз"
"348","артистическ","артистік"
"349","повышенн","артқан"
"350","задн","артқы"
"351","вьючн","артпа"
"352","переметн","артпалы"
"353","задн","арттағы"
"354","возрастающ","артушы"
"355","лишн","артық"
"356","излишн","артықша"
"357","свят","аруақты"
"358","археологическ","археологиялық"
"359","архивн","архивтік"
"360","очищенн","аршылған"
"361","аршинн","аршынды"
"362","заезженн","арыған"
"363","тощ","арық"
"364","худосочн","арық-тұрық"
"365","худощав","арықша"
"366","напорист","арынды"
"367","неупрям","арынсыз"
"368","упрям","арыншыл"
"369","львин","арыстан"
"370","необъезженн","асау"
"371","асимметрическ","асимметриялық"
"372","тыквенн","асқабақ"
"373","надменн","асқақ"
"374","недоступн","асқар"
"375","запущенн","асқындырылған"
"376","подвесн","аспа"
"377","кулинарн","аспаздық"
"378","висяч","аспалы"
"379","небесн","аспандағы"
"380","инструментальн","аспаптық"
"381","высокомерн","астамшыл"
"382","столичн","астаналық"
"383","подкладочн","астарлық"
"384","астрономическ","астрономиялық"
"385","зернов","астық"
"386","неурожайн","астықсыз"
"387","урожайн","астықты"
"388","нижн","астындағы"
"390","закулисн","астыртын"
"391","вял","асусыз"
"392","асфальтированн","асфальтты"
"393","торопящ","асығушы"
"394","тороплив","асыққыш"
"395","благородн","асыл"
"396","висяч","асылған"
"397","приемн","асыранды"
"398","воспитываем","асыраулы"
"399","коренн","ата-бабалық"
"400","атакованн","атакаланған"
"401","бесславн","атақсыз"
"402","знаменитый","атақты"
"403","названн","аталған"
"404","древн","атамзаман"
"405","терминированн","атауланған"
"406","безымянн","атаусыз"
"407","называющ","атаушы"
"408","атеистическ","атеистік"
"409","исполним","атқарарлық"
"410","исполненн","атқарылған"
"411","атмосферн","атмосфералық"
"412","атомн","атомдық"
"413","безлощадн","атсыз"
"414","верхов","атты"
"416","обстрелянн","атылған"
"417","насумевш","атышулы"
"418","простодушн","ауан"
"419","валк","ауғыш"
"420","межрайонн","ауданаралық"
"421","районн","аудандық"
"422","переводн","аудармалық"
"423","переведенн","аударылған"
"424","состоятельн","ауқатты"
"425","объемн","ауқымды"
"426","изолированн","аулақтанған"
"427","схож","аумайтын"
"428","объемн","аумақты"
"429","неустойчив","аумалы"
"431","панировочн","аунатылатын"
"432","запанированн","аунатылған"
"433","больн","ауру"
"434","болезненн","аурулау"
"435","безболезненн","аурусыз"
"437","необузданн","ауыздықсыз"
"438","устн","ауызша"
"439","межпоселков","ауыларалық"
"440","сельск","ауылдық"
"441","сельскохозяйственн","ауылшаруашылық"
"442","бедственн","ауыр"
"443","болезненн","ауырғыш"
"444","затрудненн","ауырлаған"
"445","болезненн","ауыртатын"
"446","безболезненн","ауыртпалықсыз"
"447","ненормальн","ауыс"
"448","бессменн","ауыспайтын"
"449","переменн","ауыспалы"
"450","бессменн","ауыспас"
"451","заменяющ","ауыстыратын"
"452","переменн","ауыстырмалы"
"453","заменим","ауыстырылатын"
"454","изменчив","ауытқымалы"
"455","голодн","аш"
"457","худ","ашаң"
"458","худощав","ашаңдау"
"459","ненасытн","ашқарақ"
"460","кисловат","ашқылтым"
"461","открывающ","ашпалы"
"462","взволнованн","ашуланған"
"463","вспыльчив","ашуланшақ"
"465","открыт","ашық"
"466","раскрыт","ашылған"
"467","открывающ","ашылмалы"
"468","заквашенн","ашымал"
"469","возмущенн","ашынған"
"470","бродильн","ашытатын"
"471","горьк","ащы"
"472","горьковат","ащылау"
"473","горько-солен","ащылы-тұщылы"
"474","огромн","үлкен"
"475","жалостлив","аяғыш"
"476","холодн","аязды"
"477","безног","аяқсыз"
"478","завершенн","аяқталған"
"479","бесконечн","аяқталмайтын"
"480","ласков","аялы"
"481","жалостлив","аямпаз"
"482","известн","аян"
"483","боязлив","аяншақ"
"484","жалк","аянышты"
"485","дорог","аяулы"
"486","литературн","әдеби"
"488","красив","әдемі"
"489","миловидн","әдеміше"
"490","изначальн","әдепкі"
"491","невоспитанн","әдепсіз"
"492","воспитанн","әдепті"
"493","обычн","әдеттегі"
"494","правдим","әділ"
"495","несправидлив","әділетсіз"
"496","правдив","әділетті"
"497","ловк","әдісқой"
"498","приличн","әжептәуір"
"499","морщинист","әжімді"
"500","благородн","әзіз"
"501","готов","әзір"
"502","красив","әйбат"
"503","женственн","әйелдік"
"504","глазурн","әйнекейлі"
"505","бывал","әккі"
"506","административно-командн","әкімшіл-әміршіл"
"507","административн","әкімшілік"
"508","административно-территориальн","әкімшілік-территориялық"
"509","административно-хозяйственн","әкімшілік-шаруашылық"
"510","неопределенн","әлдеқандай"
"511","крепк","әлді"
"512","миров","әлемдік"
"513","социальн","әлеуметтік"
"514","социально-культурн","әлеуметтік-мәдени"
"515","социально-политическ","әлеуметтік-саяси"
"517","безобразн","әлпетсіз"
"518","похож","әлпеттес"
"519","красив","әтпетті"
"520","слаб","әлсіз"
"521","истощенн","әлсізденген"
"522","истомленн","әлсіреген"
"523","универсальн","әмбебап"
"524","царственн","әмірлі"
"525","глуп","әпербақан"
"526","всяк","әрбір"
"527","кажд","әрбір"
"528","действующ","әрекеттегі"
"529","предприимчив","әрекетшіл"
"530","разносторонн","әржақты"
"531","неравномерн","әркелкі"
"532","всяк","әркім"
"534","всяческ","әрқилы"
"535","обаятельн","әрлі"
"536","неодинаков","әртүрлі"
"537","красив","әсем"
"538","впечатлительн","әсерлі"
"539","действенн","әсершіл"
"540","военн","әскери"
"541","военно-полев","әскери-далалық"
"542","военно-патриотическ","әскери-патриоттық"
"543","военн","әскерлік"
"544","воздушн","әуедегі"
"545","мажорн","әуезді"
"546","легкомысленн","әуейі"
"547","исходн","әуелгі"
"548","музыкальн","әуенді"
"549","любопытн","әуес"
"551","увлекающ","әуесті"
"552","свят","әулие"
"553","придурковат","әумесер"
"554","инкрустированн","әшекейленген"
"555","разукрашенн","әшекейлі"
"556","отличн","бабында"
"557","расценочн","бағалайтын"
"558","равноценн","бағалас"
"559","ценн","бағалы"
"560","недавн","бағанағы"
"561","столбов","бағаналы"
"562","бесценн","бағасыз"
"563","садоводческ","бағбандық"
"564","программн","бағдарламалық"
"565","направляющ","бағдарлаушы"
"566","ориентирующ","бағдаршы"
"567","давн","бағзы"
"568","воспитывающ","бағушы"
"569","самовольн","бағынбаушы"
"570","зависим","бағынулы"
"571","подчиненн","бағынушы"
"572","зависим","бағыныңқы"
"573","подвласн","бағынышты"
"574","направляющ","бағыттаушы"
"575","крупн","ірі"
"576","таможенн","баж"
"577","беспошлинн","бажсыз"
"578","базарн","базарлы"
"579","богат","бай"
"580","брюзглив","байбайшыл"
"581","ворчлив","байбаламшы"
"582","внимательн","байқағыш"
"583","замеченн","байқалған"
"584","перевязочн","байлайтын"
"585","связывающ","байламалы"
"586","завязанн","байланған"
"587","связанн","байланысқан"
"588","бессвязн","байланыссыз"
"589","зависим","байланысты"
"590","связывающ","байланыстырғыш"
"591","связн","байланысшы"
"592","завязанн","байлаулы"
"593","спокойн","байсалды"
"594","беспредельн","байтақ"
"595","безотчетн","байыпсыз"
"596","спокойн","байыпты"
"597","бактериологическ","бактериологиялық"
"598","коротк","бақанша"
"599","неприязненн","бақас"
"600","подзорн","бақылайтын"
"601","безотчетн","бақылаусыз"
"602","горласт","бақырауық"
"603","несчастн","бақытсыз"
"604","счастлив","бақытты"
"605","многодетн","бала-шағалы"
"606","бездетн","бала-шағасыз"
"607","ворчлив","балағатшыл"
"608","цыпляч","балапан"
"610","восков","балауыз"
"611","вощен","балауыздалған"
"613","медов","балды"
"614","тинист","балдырлы"
"615","расплавляющ","балқытатын"
"616","глинист","балшықты"
"617","рыбн","балық"
"619","рыбацк","балықшы"
"620","неподготовленн","бапсыз"
"621","холен","бапты"
"622","существующ","бар"
"623","адекватн","барабар"
"624","космат","барақ"
"625","криклив","барқырауық"
"626","валов","барлығы"
"627","маленьк","кішкентай"
"628","главн","бас"
"629","друг","басқа"
"630","различн","басқа-басқа"
"631","ведущ","басқаратын"
"632","управляющ","басқарма"
"633","вверенн","басқаруындағы"
"634","управляем","басқарылатын"
"635","управляем","басқарылмалы"
"636","главн","басқы"
"637","ступенчат","басқышты"
"638","бездомн","баспанасыз"
"639","типографск","баспаханалық"
"640","безголов","бассыз"
"641","начат","басталған"
"642","исходн","бастапқы"
"643","главн","басты"
"644","приниженн","басылған"
"645","начальн","басындағы"
"646","подавленн","басыңқы"
"647","бесстрашн","батыл"
"648","вогнут","батыңқы"
"649","отважн","батыр"
"650","западн","батыс"
"652","чутк","бауырмашыл"
"653","прошл","баяғы"
"654","верн","баянды"
"655","медленн","баяу"
"656","медлительн","баяуламалы"
"657","замедляющ","баяулататын"
"658","призов","бәйгелі"
"659","низк","бәкене"
"660","бедов","бәлекет"
"661","вредоносн","бәлелі"
"662","тих","бәсең"
"663","незнаком","бегене"
"664","авторитетн","беделді"
"665","орнаментированн","бедерлі"
"666","бесплодн","бедеу"
"667","безжалостн","безбүйрек"
"668","отвыкш","безген"
"669","упруг","бездей"
"670","украшенн","безендірілген"
"671","твердосерд","безер"
"672","несчастн","бейбақ"
"673","неблагополучн","бейберекет"
"674","мирн","бейбіт"
"675","миролюбив","бейбітшіл"
"676","беззаботн","бейғам"
"677","неспокойн","бейжай"
"678","невинн","бейкүнә"
"679","беззаботн","бейқам"
"680","беспокойн","беймаза"
"681","неизвестн","беймәлім"
"682","изображенн","бейнеленген"
"683","живописн","бейнелі"
"684","трудящ","бейнеткеш"
"685","трудолюбив","бейнетқор"
"686","мучительн","бейнетті"
"687","беззаботн","бейпіл"
"688","безграмотн","бейсауат"
"689","аполитичн","бейсаясат"
"690","незнаком","бейтаныс"
"691","беспристрастн","бейтарап"
"692","неосведомленн","бейхабар"
"693","бедн","бейшара"
"694","склонн","бейім"
"695","приспособленн","бейімделген"
"697","прочн","бекем"
"698","закрепительн","бекітетін"
"699","замкнут","бекітулі"
"700","укрепленн","бекітілген"
"701","отмеченн","белгіленген"
"702","известн","белгілі"
"703","белков","белоктық"
"704","неуступающ","бергісіз"
"705","благодатн","берекелі"
"706","неплодотворн","берекесіз"
"707","изобильн","берекетті"
"708","задолжавш","бересілі"
"709","недавн","бертінді"
"710","прочн","берік"
"711","заданн","берілген"
"712","дарящ","берімсек"
"713","рубцов","берішті"
