"id","rus","kaz"
"1618","некрасив","кескінсіз"
"1619","режущ","кескіш"
"1620","расшит","кестеленген"
"1621","вышит","кестелі"
"1622","срезанн","кесілген"
"1623","решительн","кесімді"
"1624","вредн","кесірлі"
"1625","ушедш","кеткен"
"1626","беззуб","кетік"
"1627","грудаст","кеуделі"
"1628","вчерашн","кешегі"
"1629","комплексный","кешенді"
"1630","вечерн","кешкі"
"1631","опоздавш","кешіккен"
"1632","задержанн","кешіктірілген"
"1633","тяжк","кешірілмейтін"
"1634","преподобн","киелі"
"1635","войлочн","киіз"
"1636","классическ","классикалық"
"1637","бесклассов","классыз"
"1638","коллективн","коллективтік"
"1639","колоратурн","колоратуралық"
"1640","межколхозн","колхозаралық"
"1641","командный","командалық"
"1642","комбинаторн","комбинаторлық"
"1643","комбинированн","комбинацияланған"
"1645","комиссионн","комиссиялық"
"1646","коммерческ","коммерциялық"
"1647","коммунальн","коммуналдық"
"1648","коммунистическ","коммунистік"
"1649","комплексн","комплексті"
"1650","консервативн","консерваторлық"
"1651","конструктивн","конструктивті"
"1652","континентальн","континенттік"
"1653","концертн","концерттік"
"1654","кооперативн","кооперативтік"
"1655","космическ","космостық"
"1656","возрастающ","көбеюші"
"1657","пенист","көбіктенген"
"1659","заплесневел","көгерген"
"1660","голуб","көгілдір"
"1661","прицельн","көзделетін"
"1663","безглаз","көзсіз"
"1664","знаком","көзтаныс"
"1665","очкаст","көзілдірікті"
"1666","син","көк"
"1667","важн","көкейтесті"
"1668","заветн","көкейіндегі"
"1669","бесстрашн","көкжал"
"1670","весенн","көктемгі"
"1672","голубоват","көкшіл"
"1673","горд","көкірек"
"1675","объемн","көлемді"
"1676","тенев","көлеңке"
"1678","тенист","көлеңкелі"
"1679","помогающ","көмектесуші"
"1680","неясн","көмескі"
"1681","углеродн","көміртекті"
"1682","непокорн","көнбейтін"
"1683","терпелив","көнбіс"
"1684","податлив","көнгіш"
"1685","стар","көне"
"1686","архаическ","көнелік"
"1687","застарел","көнерген"
"1688","примирительн","көнерлік"
"1689","стареньк","көнетоз"
"1690","терпелив","көнімпаз"
"1691","повеселевш","көңілденген"
"1692","веселящ","көңілдендіретін"
"1693","весел","көңілді"
"1694","невесел","көңілсіз"
"1696","взбит","көпсітілген"
"1697","пенист","көпіргіш"
"1698","пенящий","көпіретін"
"1699","пенист","көпіршіген"
"1700","благовоспитанн","көргенді"
"1701","невоспитанн","көргенсіз"
"1703","зорк","көреген"
"1704","зрительн","көретін"
"1705","прекрасн","көркем"
"1706","видн","көрнекті"
"1707","изобразительн","көрнекі"
"1708","показывающ","көрсетуші"
"1709","показательн","көрсетімдік"
"1710","соседн","көршілес"
"1711","уродлив","көріксіз"
"1712","красив","көрікті"
"1713","наблюдательн","көрімпаз"
"1714","замеченн","көрінген"
"1715","видим","көрінетін"
"1716","фрагментарн","көріністік"
"1717","истощенн","көтерем"
"1718","повышенн","көтерілген"
"1719","приподнят","көтеріліңкі"
"1720","возвыщенн","көтеріңкі"
"1721","уличн","көшедегі"
"1722","кочев","көшпелі"
"1723","перевезенн","көшірілген"
"1724","криминальн","криминалдық"
"1725","кристаллическ","кристалды"
"1726","подозрительн","күдікті"
"1727","скорбленн","күдіс"
"1728","осенн","күзгі"
"1730","стрижен","күзелген"
"1731","сторожев","күзеттік"
"1732","нервн","жүйке"
"1733","пригорел","күйген"
"1734","возгораем","күйгіш"
"1735","жгуч","күйдіргі"
"1736","зажигательн","күйдіргіш"
"1737","жгуч","күйдіретін"
"1738","невзрачн","күйкі"
"1739","упитанн","күйлі"
"1740","огнеупорн","күймейтін"
"1741","погибш","күйреген"
"1742","горестн","күйінішті"
"1743","фиолетов","күлгін"
"1744","зольн","күлді"
"1745","смешн","күлдіргі"
"1746","смешлив","күлдіретін"
"1747","смешн","күлкілі"
"1748","пушист","күлтелі"
"1749","разуверенн","күманданған"
"1750","сомнительн","күмәнді"
"1751","несомнен","күмәнсіз"
"1752","сребровидн","күмістей"
"1753","среброносн","күмісті"
"1754","грешн","күнәқар"
"1755","виновн","күнәлі"
"1756","невиновн","күнәсіз"
"1758","ежедневн","күнделікті"
"1759","дневн","күндізгі"
"1760","завистлив","күншіл"
"1761","неясн","күңгірт"
"1762","сложн","күрделі"
"1763","ожидающ","күтуші"
"1764","бессильн","күшсіз"
"1765","сильн","күшті"
"1766","нерешительн","кібіртік"
"1767","заперт","кілтті"
"1768","безпупочн","кіндіксіз"
"1769","грязн","лас"
"1771","чист","таза"
"1772","безупречн","кіршіксіз"
"1773","зависим","кіріптар"
"1774","книжн","кітаби"
"1776","маленьк","бармақтай"
"1777","младш","кіші"
"1778","скромн","кішіпейіл"
"1779","уменьшенн","кішірейген"
"1780","уменьшенн","кішірейтілген"
"1781","густ","қаба"
"1782","зл","қабаған"
"1783","густобров","қабақты"
"1784","тыквоподобн","қабақтай"
"1785","вздут","қабарған"
"1786","восприимчив","қабылдампаз"
"1787","ребрист","қабырғалы"
"1788","чешуйчат","қабыршақты"
"1789","сомкнут","қабыстырылған"
"1790","бездарн","қабілетсіз"
"1791","способн","қабілетті"
"1792","забит","қағылған"
"1793","шустр","қағылез"
"1794","уважаем","қадірдан"
"1795","почетн","қадірлі"
"1796","малоценн","қадірсіз"
"1797","ненужн","қажетсіз"
"1798","нужн","қажетті"
"1799","утомленн","қажыған"
"1800","упорн","қажымайтын"
"1801","неутомим","қажымас"
"1802","упорн","қажырлы"
"1803","слаб","қажырсыз"
"1804","утомительн","қажытатын"
"1805","казахстанск","қазақстандық"
"1806","казахск","қазақы"
"1807","смертн","қазалы"
"1808","большеголов","қазанбас"
"1809","заковырист","қазбалағыш"
"1810","выкопанн","қазулы"
"1811","вырыт","қазылған"
"1812","ценн","қазыналық"
"1813","ископаем","қазынды"
"1814","текущ","қазіргі"
"1815","печальн","қайғылы"
"1816","беззаботн","қайғысыз"
"1817","вогнут","қайқы"
"1818","кипячен","қайнатылған"
"1819","точильн","қайрайтын"
"1820","точен","қайралған"
"1821","слаб","қайратсыз"
"1822","сильн","қайратты"
"1823","беспощадн","қайрымсыз"
"1824","отважн","қайсар"
"1825","повторн","қайталанған"
"1826","безвозвратн","қайтарылмайтын"
"1827","возвращенн","қайтқан"
"1828","упорн","қайтпайтын"
"1829","неуступчив","қайтпас"
"1830","уступчив","қайтымды"
"1831","березов","қайыңды"
"1832","благотворн","қайырлы"
"1833","обратн","қайырмалы"
"1834","бездушн","қайырсыз"
"1835","великодушн","қайырымды"
"1836","беспощадн","қайырымсыз"
"1837","жалостлив","қайырымшыл"
"1838","несгибаем","қайыспас"
"1839","сушен","қақталған"
"1840","распорот","қақыраған"
"1841","межгородн","қалааралық"
"1842","городск","қалалық"
"1843","писательск","қаламгерлік"
"1844","почетн","қалаулы"
"1845","суетлив","қалбалақ"
"1846","шутлив","қалжыңшыл"
"1847","уставш","қалжыраған"
"1848","хвойн","қалқанды"
"1849","плавуч","қалқымалы"
"1850","сумчат","қалталы"
"1851","зыбк","қалтылдақ"
"1852","трепетн","қалтыраған"
"1853","судорожн","қалшылдаған"
"1854","густ","қылың"
"1855","укоренивш","қалыптасқан"
"1856","нормальн","қалыпты"
"1857","заключенн","қамалған"
"1858","парчов","қамқалы"
"1859","внимательн","қамқор"
"1860","беспризорн","қамқорсыз"
"1861","раздут","қампайған"
"1862","взбит","қампайтылған"
"1863","раздут","қампиған"
"1864","беззаботн","қамсыз"
"1865","тосклив","қамыққан"
"1866","тростников","қамысты"
"1867","жадн","қанағатсыз"
"1868","удовлетворительн","қанағаттанарлық"
"1869","удовлетворенн","қанағаттанған"
"1870","довольствующ","қанағатшыл"
"1871","бескрыл","қанағатсыз"
"1872","крылат","қанатты"
"1873","как","қандай"
"1874","кровав","қанды"
"1876","кровожадн","қанқұмар"
"1877","безкровн","қансыз"
"1878","засахаренн","қантталған"
"1879","благоприятн","қаныбет"
"1880","насыщенн","қанық"
"1881","кровожадн","қанішер"
"1882","легк","қаңбақтай"
"1883","блуждающ","қаңғыма"
"1884","расстроенн","қапаланған"
"1885","опечаленн","қапалы"
"1886","беспечн","қаперсіз"
"1887","знойн","қапырықты"
"1888","черн","қара"
"1889","бесчестн","қарабет"
"1890","жесток","қаражүрек"
"1891","затемненн","қарайтылған"
"1892","чернобур","қаракүрең"
"1893","рассмотренн","қаралған"
"1894","траурн","қаралы"
"1895","противоположн","қарама-қайшы"
"1896","противоположн","қарама-қарсы"
"1897","темн","қараңғы"
"1898","прост","қарапайым"
"1899","черномаз","қарасұр"
"1900","смугл","қараторы"
"1901","бесконтрольн","қараусыз"
"1902","сумеречн","қарауытқан"
"1903","маленьк","қарғадай"
"1904","финансово-кредитн","қаржы-несие"
"1905","раскатист","қарқылдаған"
"1906","интенсивн","қарқынды"
"1907","снежн","қарлы"
"1908","хрипловат","қарлығыңқыраған"
"1909","хрипл","қарлыққан"
"1910","бесснежн","қарсыз"
"1911","устаревш","қартайған"
"1912","постаревш","қартаң"
"1913","старческ","қарттық"
"1914","вооруженн","қару-жарақты"
"1917","безоружны","қарусыз"
"1918","малолетн","қаршадай"
"1919","заемн","қарыздық"
"1920","сильн","қарымды"
"1921","бесприютн","қарып"
"1922","проклят","қарысқыр"
"1923","зловредн","қасақы"
"1924","недостойн","қасиетсіз"
"1925","благодатн","қасиетті"
"1926","зловредн","қаскүнем"
"1927","лыс","қасқа"
"1928","безбров","қассыз"
"1929","заговорщическ","қастанды"
"1930","прискорбн","қасіретті"
"1931","затвердел","қатайған"
"1932","жесток","қатал"
"1933","твердоват","қатаң"
"1934","рядов","қатардағы"
"1935","ошибочн","қате"
"1937","зловещ","қатерлі"
"1938","безопасн","қатерсіз"
"1939","безошибочн","қатесіз"
"1940","шершав","қатпарлы"
"1941","крепк","қатты"
"1942","бессердечн","қатыгез"
"1943","связн","қатынастырушы"
"1944","замороженн","қатырылған"
"1945","участвующ","қатысатын"
"1947","причастн","қатысты"
"1948","расшатанн","қаусаған"
"1949","срочн","қауырт"
"1950","рискованн","қауіп-қатерлі"
"1951","спокойн","қауіп-қатерсіз"
"1952","безопасн","қауіпсіз"
"1953","застрахованн","қауіпсіздендірілген"
"1954","опасн","қауіпті"
"1955","грозн","қаһарлы"
"1956","героическ","қаһарман"
"1957","давн","қашанғы"
"1958","далек","қашық"
"1959","наклонн","қиғаш"
"1960","прилаженн","қималы"
"1961","дорог","қимас"
"1962","неподвижн","қимылсыз"
"1963","измученн","қиналған"
"1964","разрушенн","қираған"
"1965","неразрушим","қирамайтын"
"1966","разрушительн","қиратқыш"
"1967","разрушенн","қиратылған"
"1968","искривленн","қисайған"
"1969","искривленн","қисаңдаған"
"1970","крив","қисық"
"1971","логичн","қисынды"
"1972","бессвязн","қисынсыз"
"1973","косоглаз","қитар"
"1974","пересеченн","қиылысқан"
"1975","сложн","қиын"
"1976","критическ","қиын-қыстау"
"1977","трудноват","қиындау"
"1978","далек","қиыр"
"1979","зернист","қиыршықты"
"1980","воображаем","қиялдағы"
"1981","романтическ","қиялшыл"
"1982","безобидн","қиянатсыз"
"1983","бесчестн","қиянатшыл"
"1984","упрям","қиянкес"
"1985","непослушн","қияңқы"
"1986","общественн","қоғамдық"
"1987","мохнат","қожалақ"
"1988","шершав","қожыр"
"1989","разболтанн","қожыраған"
"1990","возбудим","қозатын"
"1991","ходов","қозғалғыш"
"1992","неподвижн","қозғалмайтын"
"1993","переносн","қозғалмалы"
"1994","возбуждающ","қоздырма"
"1995","возбужденн","қоздырылған"
"1996","поставленн","қойылған"
"1997","засоренн","қоқырсыған"
"1998","бронзов","қола"
"1999","подходящ","қолайлы"
"2000","неблагоприятн","қолайсыз"
"2001","прикладн","қолданбалы"
"2002","применим","қолданылатын"
"2003","употребленн","қолданылған"
"2004","ремесленн","қолөнерлік"
"2005","безрук","қолсыз"
"2006","жадн","қомағай"
"2007","весом","қомақты"
"2008","гостеприимн","қонақшыл"
"2009","подходящ","қонымды"
"2010","коричнев","қоңыр"
"2011","невзрачн","қораш"
"2012","беззащитн","қорғансыз"
"2013","несмел","қорғаншақ"
"2014","запаслив","қордалы"
"2015","питательн","қоректендіргіш"
"2016","труслив","қорқақ"
"2017","безопасн","қорқынышсыз"
"2018","опасн","қорқынышты"
"2019","страшноват","қорқыныштырақ"
"2020","тревожн","қорқытатын"
"2021","запаслив","қорлы"
"2022","охраняющ","қорушы"
"2023","огражденн","қоршалған"
"2024","испуганн","қорыққан"
"2025","бесстрашн","қорықпайтын"
"2026","завершенн","қорытылған"
"2028","запасн","қосалқы"
"2029","парн","қосарланған"
"2030","беспримесн","қоспасыз"
"2031","одобряющ","қостаушы"
"2032","присоединенн","қосылған"
"2033","дополнительн","қосымша"
"2034","чесоточн","қотырлы"
"2035","густ","қою"
"2036","сгущенн","қоюланған"
"2037","припадочн","қояншық"
"2038","ставн","қоятын"
"2039","хитр","қу"
"2040","радостн","қуанған"
"2041","безрадостн","қуанышсыз"
"2042","радостн","қуанышты"
"2043","засушлив","қуаң"
"2044","бледноват","қуарыңқы"
"2045","бессильн","қуатсыз"
"2046","могуч","қуатты"
"2047","бледноват","қуқыл"
"2048","лукав","қуланған"
"2049","бесхитростн","қулықсыз"
"2050","хитр","қулықты"
"2051","бодр","қунақ"
"2052","засохш","қураған"
"2053","бледн","құба"
"2054","неустойчив","құбылма"
"2055","переменчив","құбылмалы"
"2056","трубчат","құбырлы"
"2057","трубочн","құбырлық"
"2058","божественн","құдайшыл"
"2059","всемогущ","құдіретті"
"2060","толстокож","құйқалы"
"2061","переливчат","құйқылжыған"
"2062","бесхвост","құйрықсыз"
"2063","хвостат","құйрықты"
"2064","разливн","құйылмалы"
"2065","правомочн","құқықты"
"2066","падающ","құлайтын"
"2067","безух","құлақсыз"
"2068","падающ","құламалы"
"2069","песчан","құмақ"
"2071","азартн","құмартатын"
"2072","песчан","құмды"
"2073","плодородн","құнарлы"
"2074","неплодородн","құнарсыз"
"2075","ценн","құнды"
"2076","безценн","құнсыз"
"2077","беззаботн","құнтсыз"
"2078","засекреченн","құпияланған"
"2079","тростников","құрақты"
"2080","соединенн","құралған"
"2081","оснащенн","құралданған"
"2082","вооруженн","құралды"
"2083","безоружн","құралсыз"
"2084","комбинированн","құрама"
"2085","составн","құрамалы"
"2086","комбинированн","құрастырма"
"2087","составленн","құрастырылған"
"2088","сух","құрғақ"
"2089","уважаем","құрметті"
"2090","утробн","құрсағындағы"
"2091","уничтожающ","құртатын"
"2092","червив","құрттаған"
"2093","строительн","құрылыс"
"2094","строительн","құрылыстық"
"2095","тоскующ","құсалы"
"2096","рвотн","құстыратын"
"2097","несчастлив","құтсыз"
"2098","счастлив","құтты"
"2099","бешен","құтырған"
"2100","рассвирепевш","құтырынған"
"2101","заинтересованн","құштар"
"2102","упоительн","құшырлы"
"2103","лит","құюлы"
"2104","заправочн","құятын"
"2105","темпераментн","қызбалы"
"2106","разогрет","қызған"
"2107","завидн","қызғанарлық"
"2108","завистлив","қызғаншақ"
"2109","ревнив","қызғанышты"
"2110","розов","қызғылт"
"2111","согревающ","қыздыратын"
"2112","разогрет","қыздырылған"
"2113","служащ","қызметкер"
"2114","рабоч","қызметтегі"
"2115","услужли","қызметшіл"
"2116","заинтересованн","қызыққан"
"2117","любопытн","қызыққыш"
"2118","интересн","қызықты"
"2119","завлекательн","қызықтырарлық"
"2120","заманчив","қызықтыратын"
"2121","красн","қызыл"
"2122","тоненьк","қылдырықтай"
"2123","косоглаз","қыли"
"2124","хвойн","қылқанды"
"2126","уголовн","қылмыстық"
"2127","щетинист","қылшықты"
"2128","благовоспитанн","қылықты"
"2129","заигрывающ","қылымсыған"
"2130","дорог","қымбат"
"2131","подорожавш","қымбаттаған"
"2133","ноющ","қыңқылдаған"
"2134","визглив","қыңсылағыш"
"2136","вздорн","қыңыр"
"2137","ловк","қыран"
"2138","заиндевел","қыраулатқан"
"2139","режущ","қырқатын"
"2140","стрижен","қырқылған"
"2141","угловат","қырлы"
"2142","холмист","қырлық"
"2143","бесхребетн","қырсыз"
"2144","упрям","қырсықты"
"2145","неровн","қыртысты"
"2146","многочисленн","қыруар"
"2147","хрипл","қырылдаған"
"2148","тесн","қысаң"
"2149","зажимн","қысатын"
"2150","коротк","қысқа"
"2151","укороченн","қысқартылған"
"2152","кратк","қысқаша"
"2153","зимн","қысқы"
"2154","вводн","қыстырма"
"2155","узк","қысық"
"2156","затруднительн","қысылшаң"
"2157","щекотлив","қытықшыл"
"2158","скрыт","қытымыр"
"2159","хрустящ","қытырлақ"
"2160","кисл","қышқыл"
"2161","кисловат","қышқылтым"
"2162","зудящ","қышытпа"
"2163","лаборантск","лаборанттық"
"2164","лабораторн","лабораториялық"
"2165","рубинов","лағылды"
"2166","безвыходн","лажсыз"
"2167","грязев","лай"
"2168","грязн","лайлы"
"2169","мутн","лайсаң"
"2170","несоответствующ","лайықсыз"
"2171","подходящ","лайықты"
"2172","лакированн","лакты"
"2173","грязн","батпақ"
"2174","латинск","латын"
"2175","латинизированн","латынданған"
"2176","латышск","латыш"
"2178","титулованн","лауазымды"
"2179","приятн","ләззатты"
"2180","певуч","лебізді"
"2181","лексическ","лексикалық"
"2182","лексикологическ","лексикологиялық"
"2183","лексиографическ","лексиографиялық"
"2184","ленинск","лениндік"
"2185","восклицательн","лепті"
"2186","либеральн","либералдық"
"2187","безлимитн","лимитсіз"
"2188","лингвистическ","лингвистикалық"
"2189","лирическ","лирикалық"
"2190","литографск","литографиялық"
"2191","логическ","логикалы"
"2192","логическ","логикалық"
"2193","локальн","локальды"
"2194","тошнотн","лоқсытарлық"
"2195","магистральн","магистральдық"
"2196","известн","мағлұм"
"2197","неосведомленн","мағлұматсыз"
"2198","осведомленн","мағлұматты"
"2199","синонимическ","мағыналас"
"2200","смыслов","мағыналық"
"2201","бессмысленн","мағынасыз"
"2202","значим","мағыналы"
"2203","шутовск","мазақы"
"2204","беспокойн","мазасыз"
"2205","содержательн","мазмұнды"
"2206","бессмысленн","мазмұнсыз"
"2207","мелк","майда"
"2208","смазочн","майлайтын"
"2210","смазанн","майланған"
"2211","жирн","майлы"
"2212","косолап","маймақ"
"2213","неутомим","майталман"
"2214","искалеченн","майып"
"2215","гибк","майысқақ"
"2216","изогнут","майысқан"
"2217","согнут","майыстырылған"
"2218","максимальн","максималды"
"2219","бесцельн","мақсатсыз"
"2220","целесообразн","мақсаттағыдай"
"2221","целев","мақсатты"
"2222","хвален","мақталған"
"2223","ватн","мақталы"
"2224","хвастлив","мақтаншақ"
"2225","похвальн","мақтаулы"
"2226","утвердительн","мақұлдаған"
"2227","малахитов","малахитты"
"2228","проклят","малғұн"
"2229","зажиточн","малды"
"2230","пушист","мамық"
"2231","специализированн","мамандандырылған"
"2232","пушист","мамықты"
"2233","блаженн","мамыра"
"2234","тогдашн","манағы"
"2235","значительн","мандымды"
"2236","незначительн","мандымсыз"
"2237","манежн","манеждік"
"2238","властолюбив","мансапқор"
"2239","тщеславн","мансаптанған"
"2240","существенн","маңызды"
"2241","величав","маңғаз"
"2242","важн","маңғазданған"
"2243","близлежащ","маңдағы"
"2244","лобн","маңдай"
"2246","важн","маңызды"
"2247","неважн","маңызсыз"
"2248","значительн","мардымды"
"2249","незначительн","мардымсыз"
"2250","бисерн","маржанды"
"2252","милостив","мархабатты"
"2253","пьян","мас"
"2254","блаженн","масайраған"
"2255","хмельн","масайрататын"
"2256","радостн","масаттанған"
"2257","позорящ","масқаралайтын"
"2258","спутанн","матаулы"
"2259","материальн","материалдық"
"2260","материалистическ","материалистік"
"2261","матриархатн","матриархаттық"
"2262","сезонн","маусымды"
"2263","бесхлопотн","машақатсыз"
"2264","тренировочн","машықтандыратын"
"2265","культурн","мәдени"
"2266","некультурн","мәдениетсіз"
"2267","культурн","мәдениетті"
"2268","вынужденн","мәжбүр"
"2269","полоумн","мәжнүн"
"2270","восторженн","мәз-мәйрам"
"2271","известн","мәлім"
"2272","неизвестн","мәлімсіз"
"2273","однозначн","мәндес"
"2274","значим","мәнді"
"2275","выразительн","мәнерлі"
"2276","бессмысленн","мәнсіз"
"2277","вечн","мәңгі"
"2278","ухоженн","мәпелі"
"2279","щедр","мәрт"
"2280","уважаем","мәртебелі"
"2281","поговорочн","мәтелдік"
"2282","плодоносн","мәуелі"
"2283","единовременн","мезгілді"
"2284","безвременн","мезгілсіз"
"2286","гостеприимн","мейманшыл"
"2287","благожелательн","мейірбанды"
"2289","бездушн","мейірімсіз"
"2290","учрежденческ","мекемелік"
"2291","школьн","мектеп"
"2292","остолбеневш","мелшиген"
"2293","государственн","мемлекеттік"
"2294","тщеславн","менмен"
"2295","важн","менменсінген"
"2296","высокомерн","менменшіл"
"2297","презрительн","менсінбеген"
"2298","собственн","меншікті"
"2299","глух","меңіреу"
"2300","метк","мерген"
"2301","праздничн","мерекелік"
"2302","временн","мерзімді"
"2303","бессрочн","мерзімсіз"
"2304","метеорологическ","метеорологиялық"
"2305","методическ","методикалық"
"2306","механическ","механикалық"
"2307","ровн","мидай"
"2308","разумн","милы"
"2309","минн","миналы"
"2310","минеральн","минералды"
"2311","миниатюрн","миниатюралық"
"2312","министерск","министрлік"
"2313","минутн","минуттік"
"2314","безмозгл","мисыз"
"2315","мифологическ","мифологиялық"
"2316","шейн","мойын"
"2317","признанн","мойындаған"
"2318","спокойн","момақан"
"2319","тих","момын"
"2320","монолитн","монолиттік"
"2321","монополистическ","монополистік"
"2322","монопольн","монополиялық"
"2323","монументальн","монументалды"
"2324","моральн","моральдық"
"2325","хрупк","мортылдақ"
"2326","морфологическ","морфологиялық"
"2327","моторн","моторлы"
"2328","прозрачн","мөлдір"
"2329","ненормированн","мөлшерленбеген"
"2330","предельн","мөлшерлі"
"2331","безразмерн","мөлшерсіз"
"2332","музыкальн","музыкалық"
"2333","муниципальн","муниципалдық"
"2334","заледенел","мұздаған"
"2335","замороженн","мұздатылған"
"2336","леденист","мұзды"
"2337","ледников","мұздық"
"2338","нефтян","мұнайлы"
"2339","мглист","мұнарлы"
"2340","так","мұндай"
"2342","уныл","мұңды"
"2343","беспечн","мұңсыз"
"2344","наследственн","мұрагерлік"
"2347","безус","мұртсыз"
"2348","усат","мұртты"
"2349","носат","мұрынды"
"2350","заинтересованн","мүдделі"
"2351","непоколебим","мүдірмейтін"
"2352","рогат","мүйізді"
"2353","имущественный","мүліктік"
"2354","бездомн","мүсәпір"
"2355","ладн","мүсінді"
"2356","скульптурн","мүсіндік"
"2357","членск","мүшелік"
"2358","бедственн","мүшкіл"
"2359","крепк","мығым"
"2360","надоедлив","мыжың"
"2361","нерушим","мызғымас"
"2362","могуч","мықты"
"2363","болтлив","мылжың"
"2364","так","мынадай"
"2365","щедр","мырза"
"2366","цинков","мырышты"
"2367","обязательн","міндетті"
"2368","характерн","мінезді"
"2369","безхарактерн","мінезсіз"
"2370","безупречн","мінсіз"
"2371","придирчив","міншіл"
"2372","действительн","нағыз"
"2373","безграмотн","надан"
"2374","бесчестн","найсап"
"2375","возлюбленн","нақсүйер"
"2376","конкретн","нақты"
"2377","точн","нақтылы"
"2378","влажн","нам"
"2379","горд","намыскер"
"2380","самолюбив","камысқор"
"2381","постыдн","намыссыз"
"2382","честн","намысты"
"2383","хлебн","нан"
"2384","убежденн","нанған"
"2385","доверчив","нанғыш"
"2387","недовольн","наразы"
"2388","рыночн","нарықтық"
"2389","натуральн","натуралды"
"2390","больн","науқас"
"2391","плох","нашар"
"2392","чувствительн","нәзік"
"2393","алчн","нәпсіқұмар"
"2394","младенческ","нәрестелік"
"2395","питательн","нәрлі"
"2396","неплодотворн","нәрсіз"
"2397","расов","нәсілдік"
"2398","резульативн","нәтижелі"
"2399","безрезультативн","нәтижесіз"
"2400","всяк","небір"
"2401","главн","негізгі"
"2402","необоснованн","негізсіз"
"2403","обвенчанн","некелі"
"2404","подл","некес"
"2405","заемн","несиелік"
"2406","схематическ","нобайлы"
"2407","номинальн","номиналды"
"2408","ненормированн","нормаланбаған"
"2409","нормированн","нормаланған"
"2410","нормаль","нормалы"
"2411","пронумерованн","нөмірлі"
"2412","ливнев","нөсерлік"
"2413","лучист","нұрлы"
"2414","инструктивн","нұсқаулық"
"2415","точечн","нүктелі"
"2416","усиленн","нығайтылған"
"2417","плотн","нығыз"
"2418","спрессованн","нығыздалған"
"2419","прицельн","нысаналы"
"2420","бесцельн","нысанасыз"
"2421","неумеренн","нысапсыз"
"2422","скромн","нысапты"
"2423","межобластн","облысаралық"
"2424","образн","образды"
"2425","объективн","объективті"
"2427","объектн","объектілік"
"2428","странн","оғаш"
"2429","всесоюзн","одақтық"
"2430","груб","ожар"
"2431","опережающ","озық"
"2432","вдумчив","ойлампаз"
"2433","задуманн","ойланған"
"2434","обдуманн","ойланылған"
"2435","бессознательн","ойлаусыз"
"2436","вдумчив","ойлы"
"2437","умозрительн","оймен"
"2438","игрив","ойнақы"
"2439","погромн","ойранды"
"2440","бездумн","ойсыз"
"2441","задумчив","ойшаң"
"2444","прям","оқтай"
"2445","заряженн","оқталған"
"2447","образованн","оқыған"
"2448","необразованн","оқымаған"
"2450","неуклюж","олақ"
"2451","успешн","олжалы"
"2452","слаб","олқы"
"2453","беспозвоночн","омыртқасыз"
"2454","прав","оң"
"2455","легк","оңай"
"2456","уединенн","оңаша"
"2457","проклят","оңбаған"
"2458","приличн","оңды"
"2459","удобн","оңтайлы"
"2460","неудобн","оңтайсыз"
"2461","южн","оңтүстік"
"2462","неверн","опасыз"
"2463","оперативн","оперативті"
"2464","оптическ","оптикалық"
"2465","оптимистическ","оптимистік"
"2466","благоприятн","орайлы"
"2467","намотанн","оралған"
"2468","проворн","оралымды"
"2469","охватывающ","орамды"
"2470","завернут","ораулы"
"2471","органическ","органикалық"
"2472","оркестров","оркестрлік"
"2473","лесист","орманды"
"2474","безлесн","ормансыз"
"2475","расположенн","орналасқан"
"2477","установленн","орнатылған"
"2478","устойчив","орнықты"
"2479","местн","орнындағы"
"2480","средн","орта"
"2482","общ","ортақ"
"2483","центральн","орталық"
"2485","орфографическ","орфографиялық"
"2486","вскошенн","орылған"
"2487","исполним","орындаларлық"
"2488","исполненн","орындалған"
"2489","уместн","орынды"
"2490","русск","орыс"
"2491","хрупк","осал"
"2492","огненн","отты"
"2493","инкрустированн","оюланған"
"2494","орнаментальн","оюлы"
"2495","беспросыпн","оянусыз"
"2496","разбуженн","оятылған"
"2497","сводн","өгей"
"2498","решительн","өжет"
