"id","rus","kaz"
"2499","взаимный","өзара"
"2500","узбекск","өзбек"
"2501","друг","өзге"
"2502","изменчив","өзгергіш"
"2503","переменчив","өзгермелі"
"2504","изменчив","өзгерісті"
"2505","особ","өзгеше"
"2506","личн","өздік"
"2507","актуальн","өзекті"
"2508","самовлюбленн","өзімшіл"
"2509","своеобразн","өзіндік"
"2510","холодн","өкпек"
"2512","обиженн","өкпелі"
"2513","обидчив","өкпешіл"
"2514","властн","өктем"
"2515","уполномоченн","өкілетті"
"2516","властолюбив","өкіметшіл"
"2517","сожалеющ","өкінуші"
"2518","досадн","өкінішті"
"2519","погибш","өлген"
"2520","краев","өлкелік"
"2521","бессмертн","өлмейтін"
"2522","умирающ","өлмелі"
"2523","смертельн","өлтіретін"
"2524","убит","өлтірілген"
"2525","измерим","өлшемді"
"2526","неизмерим","өлшемсіз"
"2527","взвешенн","өлшенген"
"2528","развесн","өлшенетін"
"2529","измеренн","өлшеулі"
"2530","мертв","өлі"
"2532","дохл","өлімсек"
"2533","безжизненн","өлімсіреген"
"2534","пожизненн","өмірлік"
"2535","безжизненн","өмірсіз"
"2536","живуч","өміршең"
"2537","всхож","өнгіш"
"2538","производительн","өндіргіш"
"2539","производственн","өндірістік"
"2540","образцов","өнегелі"
"2541","безнравственн","өнегесіз"
"2543","промышленн","өнеркәсіптік"
"2544","умел","өнерлі"
"2545","искусн","өнерпаз"
"2546","производительн","өнімді"
"2547","бесплодн","өнімсіз"
"2548","шлифовальн","өңдейтін"
"2549","разработанн","өңделген"
"2550","необработанн","өңделмеген"
"2551","одноцветн","өңдес"
"2552","красив","өңді"
"2553","бесцветн","өңсіз"
"2554","груб","өрескел"
"2555","нерассудительн","өресіз"
"2556","развит","өркендеген"
"2557","цивилизованн","өркениетті"
"2558","горд","өркөкірек"
"2560","узорн","өрнекті"
"2561","сожженн","өртелген"
"2562","пригорел","өртенген"
"2563","увеличивающий","өршітуші"
"2564","быстрорастущ","өскелең"
"2565","возросш","өскен"
"2566","беспроцентн","өсімсіз"
"2567","возмещенн","өтелген"
"2568","пройденн","өткен"
"2569","предыдущ","өткендегі"
"2570","проводим","өткізетін"
"2571","кратковременн","өткінші"
"2572","остр","өткір"
"2573","точен","өткірленген"
"2574","туп","өтпейтін"
"2575","переходн","өтпелі"
"2576","ходов","өтімді"
"2577","неходов","өтімсіз"
"2578","лжив","өтірікші"
"2579","потухш","өшкен"
"2580","враждебн","өшпенді"
"2581","бессмертн","өшпес"
"2582","стерт","өшірілген"
"2583","использованн","пайдаланылған"
"2584","полезн","пайдалы"
"2585","бесполезн","пайдасыз"
"2586","толков","пайымды"
"2587","бедн","пақыр"
"2588","бесприютн","панасыз"
"2589","панорамн","панорамалық"
"2590","парламентск","парламенттік"
"2591","партизанск","партизандық"
"2592","безразличн","парықсыз"
"2593","беспаспортн","паспортсыз"
"2594","пассивн","пассивті"
"2595","пошл","пасық"
"2596","патентованн","патенттелген"
"2598","потологическ","патологиялық"
"2599","патриархальн","патриархалдық"
"2601","патриотическ","патриоттық"
"2602","беспорочн","пәк"
"2603","злостн","пәлеқор"
"2604","межпредметн","пәнаралық"
"2605","предметн","пәндік"
"2606","мощн","пәрменді"
"2607","беззаботн","пәруайсыз"
"2608","уговорн","пәтуәлі"
"2609","педагогическ","педагогикалық"
"2610","пейзажн","пейзаждық"
"2611","периодическ","периодты"
"2612","бесперспективн","перспективасыз"
"2613","пирамидальн","пирамидальды"
"2614","пластичн","пластикалық"
"2615","пневматическ","пневматикалы"
"2616","позитивн","позитивті"
"2617","позиционн","позициялық"
"2618","полков","полктық"
"2619","полякск","поляк"
"2620","постов","постық"
"2621","поэтическ","поэтикалық"
"2622","практическ","практикалық"
"2623","примитивн","примитивті"
"2624","принципиальн","принципті"
"2625","проблемн","проблемалы"
"2626","прогрессивн","прогрессивтік"
"2628","прозаическ","прозалық"
"2629","пропорциональн","пропорционалдық"
"2631","профилактическ","профилактикалық"
"2632","беспроцентн","процентсіз"
"2633","процентн","процентті"
"2634","психическ","психикалық"
"2635","психологическ","психологиялық"
"2636","безденежн","пұлсыз"
"2637","курнос","пұшық"
"2638","шустр","пысық"
"2639","варен","піскен"
"2640","сваренн","пісірілген"
"2641","кастрированн","піштірілген"
"2642","скроенн","пішілген"
"2643","стройн","пішінді"
"2644","нестройн","пішінсіз"
"2645","радиационный","радиациялық"
"2646","радикальн","радикалдық"
"2647","благодарн","разы"
"2648","удовлетворенн","рақаттанған"
"2649","милосердн","рақымды"
"2650","безжалостн","рақымсыз"
"2651","милосердн","рақымшыл"
"2652","рациональн","рационалды"
"2653","церемонн","рәсімді"
"2654","реактивн","реактивтік"
"2655","реальн","реал"
"2656","революционн","революциялық"
"2658","регенерационн","регенерациялық"
"2659","регрессивн","регрессивтік"
"2660","резервн","резервтік"
"2661","обиженн","ренжіген"
"2662","необидчив","ренжімейтін"
"2663","рентабельн","рентабельді"
"2664","симпатичн","реңді"
"2665","красив","реңкті"
"2666","официальн","ресми"
"2667","республиканск","республикалық"
"2668","беспорядочн","ретсіз"
"2669","реставрационн","реставрациялық"
"2670","упорядоченн","ретті"
"2671","порядков","реттік"
"2672","рефлекторн","рефлекторлық"
"2673","риторическ","риторикалық"
"2674","ролев","рольдік"
"2675","романтичн","романтикалық"
"2676","родов","рулық"
"2677","духовн","рухани"
"2678","вдохновляющ","рухтандыратын"
"2679","лохмат","сабалақ"
"2680","бит","сабалған"
"2681","мыльн","сабынды"
"2682","спокойн","сабырлы"
"2683","несдержанн","сабырсыз"
"2684","часов","сағаттық"
"2685","болотист","сазды"
"2686","соответствующ","сай"
"2687","выборн","сайламалы"
"2688","избранн","сайланған"
"2689","избирательн","сайлау"
"2690","выбранн","сайлаулы"
"2691","ущелист","сайлы"
"2692","осторожн","сақ"
"2693","бородат","сақалды"
"2694","безбород","сақалсыз"
"2695","оборонительн","сақтайтын"
"2696","бережен","сақтанған"
"2697","предохранительн","сақтандыратын"
"2698","страхов","сақтандыру"
"2699","сохранн","сақтаулы"
"2700","межотраслев","салааралық"
"2701","безалаберн","салақ"
"2702","равнозначн","салалас"
"2703","отраслев","салалық"
"2704","рассудительн","салауатты"
"2705","висяч","салбыраған"
"2706","уравновешенн","салиқалы"
"2707","холодн","салқын"
"2708","охлажденн","салқындаған"
"2709","весом","салмақты"
"2710","торжественн","салтанатты"
"2711","триумфальн","салтанаттық"
"2712","ритуальн","салттық"
"2713","неудачн","салымсыз"
"2714","положенн","салынған"
"2715","сравнительн","салыстырма"
"2716","сравним","салыстырмалы"
"2717","сравнительн","салыстырмалы"
"2718","безветренн","самалсыз"
"2719","благоразумн","саналы"
"2720","бессознательн","санасыз"
"2721","считанн","санаулы"
"2722","несчетн","санаусыз"
"2723","численн","сандық"
"2724","санитарн","санитарлық"
"2725","бессчетн","сансыз"
"2726","звонк","саңғырлаған"
"2727","отборн","саңлақ"
"2728","качественн","сапалы"
"2729","некачественн","сапасыз"
"2730","насадочн","саптамалы"
"2731","жадн","сараң"
"2732","неисчерпаем","сарқылмас"
"2733","тухл","сасыған"
"2734","вонюч","сасық"
"2735","сатирическ","сатиралық"
"2736","грязн","сатпақ"
"2737","проданн","сатылған"
"2738","продажн","сатылғыш"
"2739","ступенчат","сатылы"
"2741","бесступенчат","сатысыз"
"2742","здоров","сау"
"2743","безграмотн","сауатсыз"
"2744","грамотн","сауатты"
"2745","торгов","сауда"
"2746","груб","саудайы"
"2747","удойн","сауылатын"
"2748","сценичн","сахналық"
"2749","неглубок","саяз"
"2750","тенист","саялы"
"2751","политическ","саяси"
"2752","младенческ","сәбилік"
"2753","аналогичн","сәйкес"
"2754","здоров","сәлемет"
"2755","нарядн","сәнді"
"2756","декоративн","сәндік"
"2757","безуспешн","сәтсіз"
"2758","благополучн","сәтті"
"2759","лучев","сәуле"
"2760","лучист","сәулелі"
"2761","величественн","сәулетті"
"2762","архитектурн","сәулеттік"
"2763","беспричинн","себепсіз"
"2764","причинн","себепті"
"2766","подозрительн","сезікті"
"2768","бесчувственн","сезімсіз"
"2769","чувствительн","сезімтал"
"2771","сейсмическ","сейсмикалық"
"2772","подозревающ","секемшіл"
"2773","веснушчат","секпілді"
"2774","скачкообразн","секірмелі"
"2775","неплотн","селдір"
"2776","дряхл","селкілдеген"
"2777","тряск","селкілдек"
"2778","сельск","селолық"
"2779","равнодушн","селсоқ"
"2780","семантическ","семантикалық"
"2781","толст","семіз"
"2782","растолстевш","семірген"
"2783","семейн","семьялы"
"2784","бессемейн","семьясыз"
"2785","убежденн","сенген"
"2786","неправдаподобн","сенгісіз"
"2787","доверчив","сенгіш"
"2788","верн","сенімді"
"2789","ненадежн","сенімсіз"
"2790","доверчив","сенімшіл"
"2791","падежн","септік"
"2792","бодр","сергек"
"2793","бодрящ","сергітетін"
"2794","сержантск","сержанттық"
"2795","серийн","сериялы"
"2797","серпантинов","серпантиндік"
"2799","упруг","серпінді"
"2800","пружинн","серіппелі"
"2801","пуглив","сескенгіш"
"2802","внушительн","сесті"
"2803","заколдованн","сиқырлаған"
"2804","волшебн","сиқырлы"
"2805","силлабическ","силлабикалық"
"2806","символическ","символдық"
"2807","симметричн","симметриялы"
"2808","симфоническ","симфониялық"
"2809","синтаксическ","синтаксистік"
"2810","синтетическ","синтездік"
"2811","синхронн","синхрондық"
"2812","охарактеризованн","сипатталған"
"2813","характерн","сипатты"
"2814","голенаст","сирақты"
"2815","редк","сиреген"
"2816","редковат","сирегірек"
"2817","неуживчив","сиыспайтын"
"2818","скульптурн","скульптуралық"
"2819","слесарн","слесарлық"
"2820","советск","советтік"
"2821","бит","соғылған"
"2823","воинственн","соғысқұмар"
"2824","воюющ","соғысушы"
"2825","озорн","содырлы"
"2826","растягиваем","созылғыш"
"2827","тягуч","созылмалы"
"2828","вытянут","созылыңқы"
"2829","зарезанн","сойылған"
"2830","ударн","соқпалы"
"2831","слеп","соқыр"
"2832","лев","сол"
"2833","вял","солбыр"
"2834","завял","солған"
"2835","бледн","солғын"
"2836","северн","солтүстік"
"2837","лев","солшыл"
"2838","так","сондай"
"2839","последн","соңғы"
"2840","длинн","сопақ"
"2841","бедн","сорлы"
"2842","бульонн","сорпалық"
"2843","судебн","сот"
"2845","социальны","социалдық"
"2846","социалистическ","социалистік"
"2847","распорот","сөгілген"
"2848","разговорчив","сөзшең"
"2849","бессловесн","сөйлемейтін"
"2850","разговорчив","сөйлемпаз"
"2851","переговорн","сөйлесетін"
"2852","потухш","сөнген"
"2853","потушенн","сөндірілген"
"2854","спиральн","спиральді"
"2855","спиртов","спиртті"
"2856","спонтанн","спонтанды"
"2857","спортивн","спорттық"
"2858","статистическ","статистикалық"
"2859","стенографическ","стенографиялық"
"2860","стратегическ","стратегиялық"
"2861","поливн","суармалы"
"2862","поливн","суарылатын"
"2863","субстантивн","субстантивтік"
"2864","субъективн","субъективтік"
"2865","бессубъективн","субъектісіз"
"2866","влажн","сулы"
"2867","иллюстрированн","суретті"
"2868","безводн","сусыз"
"2869","охлаждающ","суытатын"
"2870","жидк","сұйық"
"2871","презренн","сұмпайы"
"2872","высок","сұңғақ"
"2873","сер","сұр"
"2874","вопросн","сұрақты"
"2875","свиреп","сұрапыл"
"2876","вопросительн","сұраулы"
"2878","сцеженн","сүзілген"
"2879","бескостн","сүйексіз"
"2880","костляв","сүйекті"
"2881","приятн","сүйкімді"
"2882","неприятн","сүйкімсіз"
"2883","остр","сүйрік"
"2884","восторженн","сүйсінген"
"2885","любим","сүйікті"
"2886","заостренн","сүйір"
"2887","вялен","сүр"
"2888","тесан","сүргіленген"
"2889","молочн","сүтті"
"2890","линейн","сызықты"
"2891","уважаем","сыйлы"
"2892","вместительн","сыйымды"
"2893","неуживчив","сыйымсыз"
"2894","подобн","сықылды"
"2895","нестройн","сымбатсыз"
"2896","стройн","сымбатты"
"2897","проволочн","сымды"
"2898","испытанн","сыналған"
"2899","ртутн","сынапты"
"2900","ломк","сынғақ"
"2901","сломанн","сынған"
"2902","поврежденн","сындырылған"
"2903","невзрачн","сынсыз"
"2904","вежлив","сыпайы"
"2905","учтив","сырбаз"
"2906","раздвижн","сырғымалы"
"2907","больн","сырқат"
"2909","крашеный","сырланған"
"2910","задушевный","сырлас"
"2911","заветный","сырлы"
"2912","стеганый","сырма"
"2913","верхний","сыртқы"
"2914","заочный","сырттай"
"2915","заочный","сырттан"
"2916","стеганый","сырылған"
"2917","указательный","сілтеуіш"
"2918","щелочной","сілтілі"
"2919","усваиваемый","сіңімді"
"2920","поглотительный","сіңіргіш"
"2921","жилистый","сіңірлі"
"2922","упорный","табанды"
"2923","нестойкий","табансыз"
"2924","природный","табиғи"
"2925","примирительный","табыстыратын"
"2926","предназначенный","тағайындалған"
"2927","назначенный","тағайындалынған"
"2928","подкованный","тағалы"
"2929","лысый","таз"
"2930","чистый","таза"
"2931","очищенный","тазарған"
"2932","скользкий","тайғанақ"
"2933","плоский","тайпақ"
"2934","упорный","тайсалмайтын"
"2935","мелкий","тайыз"
"2936","решительный","тайынбайтын"
"2937","тактический","тактикалық"
"2938","недостаточный","тақыл"
"2939","подобный","тақылеттес"
"2940","бездарный","талантсыз"
"2941","талантливый","талантты"
"2942","инициативный","талапты"
"2943","бесспорный","талассыз"
"2944","спорный","таласты"
"2945","изысканный","талғампаз"
"2946","анализирующий","талдағыш"
"2947","анализированный","талданған"
"2948","разрушительный","талқандағыш"
"2949","взрывной","талқандайтын"
"2950","разбитый","талқандалған"
"2951","коренастый","талпақ"
"2952","растопыренный","талпиған"
"2953","волокнистый","талшықты"
"2954","прекрасный","тамаша"
"2955","познаваемый","танылатын"
"2956","признанный","танылған"
"2957","неразборчивый","танылмайтын"
"2958","известный","танымал"
"2959","знакомый","таныс"
"2960","перевязочный","таңатын"
"2961","приметный","таңбалы"
"2962","изумительный","таңғажайып"
"2963","чудесный","таңғаларлық"
"2964","утренний","таңғы"
"2965","разборчивый","таңдағыш"
"2966","избранный","таңдамалы"
"2967","удивительный","таңданарлық"
"2968","удивленный","таңданған"
"2969","отборный","таңдаулы"
"2970","утренний","таңертеңгі"
"2971","редкостный","таңсық"
"2972","необычайный","таңырқаларлық"
"2973","низкий","тапал"
"2974","догадливый","тапқыр"
"2975","заданный","тапсырылған"
"2976","утрамбованный","тапталған"
"2977","тесный","тар"
"2978","весовой","таразылы"
"2979","расчесанный","таралған"
"2980","распущенный","таратылған"
"2981","исторический","тарихи"
"2982","распущенный","тарқаған"
"2983","брюквенный","тарналы"
"2984","растянутый","тартылған"
"2985","привлекательный","тартымды"
"2986","нерешительный","тартыншақ"
"2987","зауженный","тарылған"
"2988","суженный","тарылтылған"
"2989","бурный","тасқынды"
"2990","каменистый","тастақ"
"2991","брошенный","тасталған"
"2992","брошенный","тастанды"
"2993","каменистый","тасты"
"2994","переносный","тасымал"
"2995","переносный","тасымалды"
"2996","переносный","тасымалы"
"2997","дружный","тату"
"2999","безвкусный","татымсыз"
"3000","горный","таулы"
"3001","бесконечный","таусылмайтын"
"3002","неглубокий","таяз"
"3003","недавний","таяудағы"
"3004","опытный","тәжірибелі"
"3005","неопытный","тәжірибесіз"
"3006","присущий","тән"
"3007","воспитанный","тәрбиеленген"
"3008","воспитанный","тәрбиелі"
"3009","невоспитанный","тәртіпсіз"
"3010","беспорядочный","тәртіптелінбеген"
"3011","воспитанный","тәртіпті"
"3012","ловкий","тәсілқой"
"3013","сладкий","тәтті"
"3014","рискованный","тәуекелді"
"3015","несмелый","тәуекелсіз"
"3016","зависимый","тәуелді"
"3017","независимый","тәуелсіз"
"3018","суточный","тәуліктік"
"3019","театральный","театрлық"
"3020","бесплатный","тегін"
"3021","гладкий","тегіс"
"3022","шлифовальный","тегістейтін"
"3023","выровненный","тегістелген"
"3024","тормозной","тежеуіш"
"3025","скороспелый","тезпіскіш"
"3026","проверенный","тексерілген"
"3027","безродный","тексіз"
"3028","родственный","тектес"
"3029","воспитанный","текті"
"3030","железный","темір"
"3031","шаловливый","тентек"
"3032","равноправный","тең"
"3033","денежный","ақшалай"
"3034","равный","теңдес"
"3035","несравненный","теңеусіз"
"3036","неравный","теңсіз"
"3037","теоретический","теориялық"
"3038","равный","тепе-тең"
"3039","колебающийся","тербелмелі"
"3040","убаюканный","тербетілген"
"3041","углубленный","тереңдетілген"
"3042","вспотевший","терлеген"
"3043","терминологический","терминологиялық"
"3044","термоядерный","термоядролық"
"3045","террористический","террорлық"
"3046","потливый","тершең"
"3047","потливый","тершіл"
"3048","неправильный","теріс"
"3049","пробивной","тесілетін"
"3050","задетый","тиген"
"3051","погрузочный","тиейтін"
"3052","нагруженный","тиелген"
"3053","причитающийся","тиесілі"
"3054","типический","типтік"
"3055","гладкий","типыл"
"3056","невыгодный","тиімсіз"
"3057","необходимый","тиісті"
"3058","беспочвенный","тиянақсыз"
"3059","устойчивый","тиянақты"
"3060","лесистый","тоғайлы"
"3061","утаревший","тозған"
"3062","ненасытный","тойымсыз"
"3063","сытый","тоқ"
"3064","застойный","тоқтаған"
"3065","задержанный","тоқтатылған"
"3066","вязаный","тоқылған"
"3067","текстильный","тоқымалық"
"3068","полный","толған"
"3069","волнистый","толқынды"
"3070","полный","толық"
"3071","организованный","топтасқан"
"3072","землистый","топырақты"
"3073","узловой","торапты"
"3074","юбилейный","торқалы"
"3075","сетчатый","торлы"
"3076","ржавый","тоттанған"
"3077","заржавелый","тотыққан"
"3078","выносливый","төзімді"
"3079","проливной","төкпе"
"3080","платежный","төлемді"
"3081","уплаченный","төленген"
"3082","нижний","төменгі"
"3083","перевернутый","төңкерілген"
"3084","застеленный","төселген"
"3085","чрезвычайный","төтенше"
"3086","трагичный","трагедиялық"
"3087","родной","туған"
"3088","бесплодный","тумайтын"
"3089","родственный","тумалас"
"3090","прямой","тура"
"3091","резательный","турайтын"
"3092","справедливый","турашыл"
"3093","вторичный","туынды"
"3094","родственный","туыс"
"3095","межродовой","туысаралық"
"3096","близкий","туысқан"
"3097","заключительный","тұжырымды"
"3098","соленый","тұздалған"
"3099","соленый","тұзды"
"3100","замкнутый","тұйық"
"3101","породистый","тұқымды"
"3102","бесплодный","тұқымсыз"
"3103","видный","тұлғалы"
"3104","туманный","тұманды"
"3105","удушающий","тұншықтырғыш"
"3106","прозрачный","тұнық"
"3107","непостоянный","тұрақсыз"
"3108","постоянн","тұрақты"
"3109","стоящий","тұратын"
"3110","бытовой","тұрмыстық"
"3111","грубый","тұрпайы"
"3112","зажженный","тұтанған"
"3113","целый","тұтас"
"3114","пленный","тұтқын"
"3115","пресный","тұщы"
"3116","кардинальный","түбегейлі"
"3117","исправленный","түзелген"
"3118","неисправимый","түзелмейтін"
"3119","исправленный","түзетілген"
"3120","прямой","түзу"
"3121","завязанный","түйілген"
"3122","узловатый","түйінді"
"3123","зернистый","түйірлі"
"3124","ночной","түнгі"
"3125","тюркский","түркі"
"3126","разный","түрлі"
"3127","обеденный","түскі"
"3128","бесцветный","түссіз"
"3129","доходный","түсімді"
"3130","бесприбыльный","түсімсіз"
"3131","непонятный","түсініксіз"
"3132","понятный","түсінікті"
"3133","плотный","тығыз"
"3134","волшебный","тылсымды"
"3135","тихий","тынық"
"3136","спокойный","тынымды"
"3137","беспокойный","тынымсыз"
"3138","тихий","тыныш"
"3139","успокоенный","тынышталған"
"3140","бодрый","тың"
"3141","основательный","тыңғылықты"
"3142","расцарапанный","тырналған"
"3143","пошивочный","тігетін"
"3144","сшитый","тігулі"
"3145","шитый","тігілген"
"3146","последовательный","тізбектелген"
"3147","прямой","тіке"
"3148","послушный","тілалғыш"
"3149","языкастый","тілді"
"3150","красноречивый","тілмар"
"3151","бессловесный","тілсіз"
"3152","беспочвенный","тірексіз"
"3153","надежный","тіректі"
"3154","зарегистрированный","тіркелген"
"3155","прицепной","тіркелетін"
"3156","прицепной","тіркемелі"
"3157","зарегистрированный","тіркеулі"
"3158","живой","тірі"
"3159","беззубый","тіссіз"
"3160","зубастый","тісті"
"3161","грустный","уайымды"
"3162","беззаботный","уайымсыз"
"3163","беспокойный","уайымшыл"
"3164","мелкий","уақ"
"3165","безвременный","уақытсыз"
"3166","временный","уақытша"
"3167","битый","уатылған"
"3168","договоренный","уәделескен"
"3169","обещанный","уәделі"
"3170","отравленный","улаған"
"3171","ядовитый","улағыш"
"3172","отравляющий","уландыратын"
"3173","отравляющий","уландырғыш"
"3174","ядовитый","улы"
"3175","токсичный","уытты"
"3176","внятный","ұғымды"
"3177","непонятный","ұғымсыз"
"3178","сообразительный","ұғымтал"
"3179","беспрерывный","ұдайы"
"3180","честный","ұжданды"
"3181","бессовестный","ұждансыз"
"3182","длительный","ұзақ"
"3183","удлиненный","ұзартылған"
"3184","длинный","ұзын"
"3185","нерифмованный","ұйқассыз"
"3186","рифмованный","ұйқасты"
"3187","рифмованный","ұйқастырылған"
"3188","сонный","ұйқылы"
"3189","сонливый","ұйқышыл"
"3190","усыпительный","ұйықтататын"
"3191","организованный","ұйымдасқан"
"3192","неорганизованный","ұйымдаспаған"
"3193","организованный","ұйымшыл"
"3194","организационный","ұйымдық"
"3195","схожий","ұқсас"
"3196","небрежный","ұқыпсыз"
"3197","аккуратный","ұқыпты"
"3198","расширенный","ұлғаймалы"
"3199","расширенный","ұлғайтылған"
"3200","пушистый","ұлпа"
"3201","межнациональный","ұлтаралық"
"3202","национальный","ұлттық"
"3203","народно-демократический","ұлттық-демократиялық"
"3204","народно-революционный","ұлттық-революциялық"
"3205","великий","ұлы"
"3206","забывчивый","ұмытшақ"
"3207","забытый","ұмытылған"
"3208","незабываемый","ұмытылмайтын"
"3209","незабываемый","ұмытылмас"
"3210","приятный","ұнамды"
"3211","неприятный","ұнамсыз"
"3212","мучной","ұнды"
"3213","тертый","ұнтақталған"
"3214","ворованный","ұрланған"
"3215","зачаточный","ұрықтанған"
"3216","битый","ұрылған"
"3217","мелкий","ұсақ"
"3218","раздробленный","ұсақталған"
"3219","мелочный","ұсақшыл"
"3220","безобразный","ұсқынсыз"
"3221","задержанный","ұсталған"
"3222","сдержанный","ұстамды"
"3223","невыдержанный","ұстамсыз"
"3224","чудн","ғажайып"
"3225","умн","ақылды"
"3226","пшеничн","бидай"
"3227","пойманн","ұсталған"
"3228","растительн","өсімдік"
"3229","элементарн","қарапайым"
"3230","целостн","біртұтас"
"3231","перв","бірінші"
"3233","отзывчив","бауырмал"
"3234","неотложн","кідіртуге болмайтын"
"3235","ярк","жарық"
"3236","гражданск","азаматтық"
"3237","внешн","сыртқы"
"3239","долгосрочн","ұзақ мерзімді"
"3240","овощн","көкөніс"
"3241","лавров","лавр"
"3242","бумажн","қағаз"
"3243","обходн","кету"
"3232","почтов","почталық"
"3236","грязн","кір"
"3237","студен","салқын"
"","барсучь","борсықтың"
"","законодательн","заңнамалық"
"","сладк","тәтті"
"","представительн","өкілі"
"3244","аварийн","апатты"
"3245","автомобильн","автокөлікті"
"3246","авторск","авторлық"
"3247","адвокатск","қорғаушылық"
"3248","адресн","адрестік"
"3249","адмиральск","адмиральдік"
"3250","азотн","азоттік"
"3251","аккумуляторн","аккумуляторлық"
"3252","актов","акт"
"3253","алданск","алдандық"
"3254","алкогольн","алкогольді"
"3255","аллергическ","аллергиялық"
"3256","алмазн","алмас"
"3257","алтайс","алтай"
"3258","альпийск","альпі"
"3259","альпинистск","альпинисттік"
"3260","альтернативн","баламалы"
"3261","алюминев","альюмин"
"3262","амбициозн","менмен"
"3263","американск","американдық"
"3264","ангельск","періштелік"
"3265","аномальн","нормадан ауытқыған"
"3266","антенн","антенналық"
"3267","антикварн","антикварлық"
"3268","антимонопольн","антимонопольді"
"3269","античн","көне"
"3270","апельсинов","апельсинді"
"3271","аппаратн","аппаратты"
"3272","аппетитн","тәбетті"
"3273","аптекарск","дәріханалық"
"3274","арбузн","қарбыз"
"3275","артериальн","күретамыр"
"3276","аскорбинов","аскорбин"
"3277","атлетическ","атлетикалық"
"3278","багажн","жүк"
"3279","багров","қып-қызыл"
"3280","багрян","ашық қызыл"
"3281","базисн","базистік"
"3282","базов","базалық"
"3283","базов","негізгі"
"3284","базов","қор"
"3285","балетн","балеттік"
"3286","балконн","балкондық"
"3287","бананов","банан"
"3288","банкетн","банкет"
"3289","болгарск","болгар"
"3290","бордов","күрең қызыл"
"3291","босоног","жалаң аяқ"
"3292","ботаническ","ботаникалық"
"3293","биологическ","биологиялық"
"3294","брачн","некелік"
"3295","бритвенн","ұстаралық"
"3296","брит","қырынған"
"3297","важнейш","аса маңызды"
"3298","вакантн","вакантты"
"3299","вакуумн","вакуумдық"
"3300","вафельн","вафельді"
"3301","вегетарианск","етсіз"
"3302","везуч","бағы бар"
"3303","веков","ғасырлық"
"3304","великоват","үлкендеу"
"3305","гадк","жексұрын"
"3306","гадк","жиренішті"
"3307","гадк","сұмпайы"
"3308","гаечн","сомын"
"3309","газов","газды"
"3310","газов","газ"
"3311","галантн","сабаз"
"3312","галантн","тым сыпайы"
"3313","гарантированн","кепілдендірілген"
"3314","гардеробн","гардероб"
"3315","гастрольн","гастрольдік"
"3316","генн","гендік"
"3317","дверн","есіктік"
"3318","двигательн","қозғалтқыштық"
"3319","дворов","аулалық"
"3320","джазов","джаздық"
"3321","джентельменск","джентельмендік"
"3322","джинсов","джинсы"
"3323","длиннейш","аса ұзын"
"3324","девников","күнделік"
"3325","един","бірыңғай"
"3326","ежегодн","жыл сайынғы"
"3327","ежемесячн","ай сайынғы"
"","солнечн","шуақты"
"","лесн","орманды"
"","оранжев","сарғыш"
"","необыкнавенн","ерекше"
"","игрушечн","ойыншық"
"","суров","қатал"
"","звездн","жұлдызды"
"","спортивн","спортты"
"","шоколадн","шоколадты"
"","несильн","әлсіз"
"","тровянист","шөпті"
"","мартовск","марттың"
"","детск","бала"
